env_package	enum	permissible_value	term_id
soil	env_broad_scale	alpine biome	ENVO:01001835
soil	env_broad_scale	alpine tundra biome	ENVO:01001505
soil	env_broad_scale	anthropogenic terrestrial biome	ENVO:01000219
soil	env_broad_scale	arid biome	ENVO:01001838
soil	env_broad_scale	flooded savanna biome	ENVO:01000190
soil	env_broad_scale	mediterranean biome	ENVO:01001833
soil	env_broad_scale	mediterranean savanna biome	ENVO:01000229
soil	env_broad_scale	mediterranean shrubland biome	ENVO:01000217
soil	env_broad_scale	mediterranean woodland biome	ENVO:01000208
soil	env_broad_scale	montane biome	ENVO:01001836
soil	env_broad_scale	montane savanna biome	ENVO:01000223
soil	env_broad_scale	montane shrubland biome	ENVO:01000216
soil	env_broad_scale	polar biome	ENVO:01000339
soil	env_broad_scale	rangeland biome	ENVO:01000247
soil	env_broad_scale	savanna biome	ENVO:01000178
soil	env_broad_scale	shrubland biome	ENVO:01000176
soil	env_broad_scale	subalpine biome	ENVO:01001837
soil	env_broad_scale	subpolar biome	ENVO:01001834
soil	env_broad_scale	subtropical biome	ENVO:01001832
soil	env_broad_scale	subtropical savanna biome	ENVO:01000187
soil	env_broad_scale	subtropical shrubland biome	ENVO:01000213
soil	env_broad_scale	subtropical woodland biome	ENVO:01000222
soil	env_broad_scale	temperate biome	ENVO:01001831
soil	env_broad_scale	temperate savanna biome	ENVO:01000189
soil	env_broad_scale	temperate shrubland biome	ENVO:01000215
soil	env_broad_scale	temperate woodland biome	ENVO:01000221
soil	env_broad_scale	tropical biome	ENVO:01001830
soil	env_broad_scale	tropical savanna biome	ENVO:01000188
soil	env_broad_scale	tropical shrubland biome	ENVO:01000214
soil	env_broad_scale	tropical woodland biome	ENVO:01000220
soil	env_broad_scale	tundra biome	ENVO:01000180
soil	env_broad_scale	urban biome	ENVO:01000249
soil	env_broad_scale	village biome	ENVO:01000246
soil	env_broad_scale	woodland biome	ENVO:01000175
soil	env_local_scale	active geological fault	ENVO:01000669
soil	env_local_scale	cliff	ENVO:00000087
soil	env_local_scale	dune	ENVO:00000170
soil	env_local_scale	hill	ENVO:00000083
soil	env_local_scale	hillside	ENVO:01000333
soil	env_local_scale	hummock	ENVO:00000516
soil	env_local_scale	impact crater	ENVO:01001071
soil	env_local_scale	isthmus	ENVO:00000174
soil	env_local_scale	karst	ENVO:00000175
soil	env_local_scale	lava field	ENVO:01000437
soil	env_local_scale	mesa	ENVO:00000179
